# wavelength[A] tau flux flux_error
5.569050e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569060e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569070e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569080e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569090e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569100e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569110e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569120e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569130e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569140e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569150e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569160e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569170e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569180e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569190e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569200e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569210e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569220e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569230e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569240e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569250e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569260e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569270e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569280e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569290e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569300e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569310e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569320e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569330e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569340e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569350e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569360e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569370e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569380e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569390e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569400e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569410e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569420e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569430e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569440e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569450e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569460e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569470e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569480e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569490e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569500e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569510e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569520e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569530e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569540e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569550e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569560e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569570e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569580e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569590e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569600e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569610e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569620e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569630e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569640e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569650e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569660e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569670e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569680e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569690e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569700e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569710e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569720e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569730e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569740e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569750e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569760e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569770e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569780e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569790e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569800e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569810e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569820e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569830e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569840e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569850e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569860e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569870e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569880e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569890e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569900e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569910e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569920e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569930e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569940e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569950e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569960e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569970e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569980e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.569990e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.570000e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.570010e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.570020e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.570030e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.570040e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.570050e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.570060e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.570070e+03 0.000000e+00 1.000000e+00 1.000000e-01
